sub,tier,key,name,toHit,speed,reqSTR,range,base_dmgMin,base_dmgMax,current_+1,current_+2,current_+3,current_+4,current_+5,WANT_+1,WANT_+2,WANT_+3,WANT_+4,WANT_+5
dagger,1,dagger,Dagger,3,1.25,8,,1,4,1-6,1-8,1-10,1-12,1-14,,,,,
dagger,2,dirk,Dirk,3,1.25,9,,2,6,3-10,4-14,5-18,6-22,7-26,,,,,
dagger,3,stiletto,Stiletto,4,1.3,10,,3,9,5-15,7-21,9-27,11-33,13-39,,,,,
dagger,4,fang_of_the_hollow,Fang of the Hollow,4,1.3,11,,4,13,7-21,10-29,13-37,16-45,19-53,,,,,
dagger,5,quietus,Quietus,5,1.35,12,,6,18,10-28,14-38,18-48,22-58,26-68,,,,,
sword,1,sword,Sword,2,1.0,10,,2,6,2-8,2-10,2-12,2-14,2-16,,,,,
sword,2,broadsword,Broadsword,2,1.0,12,,3,9,4-13,5-17,6-21,7-25,8-29,,,,,
sword,3,falchion,Falchion,2,1.0,13,,5,13,7-19,9-25,11-31,13-37,15-43,,,,,
sword,4,runed_blade,Runed Blade,3,1.05,15,,7,18,10-26,13-34,16-42,19-50,22-58,,,,,
sword,5,kingsmourn,Kingsmourn,3,1.05,16,,10,25,14-35,18-45,22-55,26-65,30-75,,,,,
axe,1,hatchet,Hatchet,-4,0.95,12,,3,8,3-10,3-12,3-14,3-16,3-18,,,,,
axe,2,axe,Axe,-3,0.9,14,,4,12,5-16,6-20,7-24,8-28,9-32,,,,,
axe,3,great_axe,Great Axe,-3,0.9,16,,6,17,8-23,10-29,12-35,14-41,16-47,,,,,
axe,4,headsman,Headsman's Axe,-2,0.85,18,,9,23,12-31,15-39,18-47,21-55,24-63,,,,,
axe,5,worldcleaver,Worldcleaver,-2,0.85,20,,12,32,16-42,20-52,24-62,28-72,32-82,,,,,
bow,1,shortbow,Shortbow,-1,1.0,10,5,2,5,2-7,2-9,2-11,2-13,2-15,,,,,
bow,2,hunting_bow,Hunting Bow,-1,1.0,11,5,3,8,4-12,5-16,6-20,7-24,8-28,,,,,
bow,3,recurve_bow,Recurve Bow,0,1.0,12,6,4,11,6-17,8-23,10-29,12-35,14-41,,,,,
bow,4,longbow,Longbow,0,1.05,13,6,6,15,9-23,12-31,15-39,18-47,21-55,,,,,
bow,5,stormcaller,Stormcaller,1,1.05,14,7,8,21,12-31,16-41,20-51,24-61,28-71,,,,,
