key,name,cat,sub,tier,rarity_pct,toHit,speed,range,reqSTR,AC,maxDEXtoAC,int,mp,dmg_+0,dmg_+1,dmg_+2,dmg_+3,dmg_+4,dmg_+5,def_+0,def_+1,def_+2,def_+3,def_+4,def_+5
dagger,Dagger,weapon,dagger,1,40,3,1,,8,,,,,1-4,1-5,1-6,1-7,1-8,1-9,,,,,,
dirk,Dirk,weapon,dagger,2,28,3,1,,9,,,,,2-6,2-8,2-10,2-12,2-14,2-16,,,,,,
stiletto,Stiletto,weapon,dagger,3,18,4,1,,10,,,,,3-9,3-12,3-15,3-18,3-21,3-24,,,,,,
fang_of_the_hollow,Fang of the Hollow,weapon,dagger,4,10,4,1,,11,,,,,4-13,4-17,4-21,4-25,4-29,4-33,,,,,,
toothpick,Toothpick,weapon,dagger,5,4,5,1,,12,,,,,6-20,6-25,6-30,6-35,6-40,6-45,,,,,,
Shitty_sword,Shitty sword,weapon,sword,0,0,2,1.2,,0,,,,,1-2,1-3,1-4,1-5,1-6,1-7,,,,,,
sword,Sword,weapon,sword,1,40,2,1,,10,,,,,2-6,2-7,2-8,2-9,2-10,2-11,,,,,,
broadsword,Broadsword,weapon,sword,2,28,2,1,,12,,,,,3-9,3-11,3-13,3-15,3-17,3-19,,,,,,
falchion,Falchion,weapon,sword,3,18,2,1,,13,,,,,5-13,5-16,5-19,5-22,5-25,5-28,,,,,,
runed_blade,Runed Blade,weapon,sword,4,10,3,1,,15,,,,,7-18,7-22,7-26,7-30,7-34,7-38,,,,,,
kingsmourn,Kingsmourn,weapon,sword,5,4,3,1,,16,,,,,10-25,10-30,10-35,10-40,10-45,10-50,,,,,,
hatchet,Hatchet,weapon,axe,1,40,-4,0.8,,12,,,,,3-8,3-9,3-10,3-11,3-12,3-13,,,,,,
axe,Axe,weapon,axe,2,28,-3,0.85,,14,,,,,4-12,4-14,4-16,4-18,4-20,4-22,,,,,,
great_axe,Great Axe,weapon,axe,3,18,-3,0.9,,16,,,,,6-17,6-20,6-23,6-26,6-29,6-32,,,,,,
headsman,Headsman's Axe,weapon,axe,4,10,-2,0.95,,18,,,,,9-23,9-27,9-31,9-35,9-39,9-43,,,,,,
worldcleaver,Worldcleaver,weapon,axe,5,4,-2,1,,20,,,,,12-32,12-37,12-42,12-47,12-52,12-57,,,,,,
shortbow,Shortbow,weapon,bow,1,40,-1,1,5,10,,,,,2-5,2-6,2-7,2-8,2-9,2-10,,,,,,
hunting_bow,Hunting Bow,weapon,bow,2,28,-1,1,5,11,,,,,3-8,3-10,3-12,3-14,3-16,3-18,,,,,,
recurve_bow,Recurve Bow,weapon,bow,3,18,0,1,5,12,,,,,4-11,4-14,4-17,4-20,4-23,4-26,,,,,,
longbow,Longbow,weapon,bow,4,10,0,1.05,5,13,,,,,6-15,6-19,6-23,6-27,6-31,6-35,,,,,,
stormcaller,Stormcaller,weapon,bow,5,4,1,1.05,5,14,,,,,8-21,8-26,8-31,8-36,8-41,8-46,,,,,,
grass_armor,Grass armor,armor,light,1,40,,,,0,0,10,1,5,,,,,,,0-2,0-3,0-4,0-5,0-6,0-7
cloth_armor,Cloth armor,armor,light,2,28,,,,0,1,10,2,8,,,,,,,0-3,0-5,0-7,0-9,0-11,0-13
refined_robe,Refined robe,armor,light,3,18,,,,0,2,10,3,12,,,,,,,0-4,0-7,0-10,0-13,0-16,0-19
mages_robe,Mages robe,armor,light,4,10,,,,0,3,10,4,17,,,,,,,0-5,0-9,0-13,0-17,0-21,0-25
threads_of_fate,Threads of fate,armor,light,5,4,,,,0,4,10,5,23,,,,,,,0-6,0-11,0-16,0-21,0-26,0-31
padded_jerkin,Padded jerkin,armor,medium,1,40,,,,10,2,3,,,,,,,,,0-3,0-4,0-5,0-6,0-7,0-8
studded_leather,Studded leather,armor,medium,2,28,,,,12,3,6,,,,,,,,,1-5,1-7,1-9,1-11,1-13,1-15
scale_hauberk,Scale hauberk,armor,medium,3,18,,,,14,4,9,,,,,,,,,2-8,2-11,2-14,2-17,2-20,2-23
elven_mail,Elven mail,armor,medium,4,10,,,,16,5,12,,,,,,,,,3-13,3-17,3-21,3-25,3-29,3-33
windwoven_coat,Windwoven coat,armor,medium,5,4,,,,16,6,15,,,,,,,,,4-21,4-26,4-31,4-36,4-41,4-46
rusted_mail,Rusted mail,armor,heavy,1,40,,,,15,0,0,,,,,,,,,1-5,1-6,1-7,1-8,1-9,1-10
chainmail,Chainmail,armor,heavy,2,28,,,,16,0,0,,,,,,,,,3-9,3-11,3-13,3-15,3-17,3-19
banded_plate,Banded plate,armor,heavy,3,18,,,,20,1,0,,,,,,,,,5-15,5-18,5-21,5-24,5-27,5-30
knights_plate,Knight's plate,armor,heavy,4,10,,,,22,1,1,,,,,,,,,7-23,7-27,7-31,7-35,7-39,7-43
adamant_bulwark,Adamant bulwark,armor,heavy,5,4,,,,25,2,2,,,,,,,,,9-35,9-40,9-45,9-50,9-55,9-60
metrognome,Metrognome,trinket,,,,,,,,,,,,,,,,,,,,,,,
ring_copper,Copper Ring,ring,,1,,,,,,,,,,,,,,,,,,,,,
charm_bone,Bone Charm,trinket,,1,,,,,,,,,,,,,,,,,,,,,
ring_silver,Silver Ring,ring,,3,,,,,,,,,,,,,,,,,,,,,
amulet_jade,Jade Amulet,necklace,,3,,,,,,,,,,,,,,,,,,,,,
